1,SEMESTER 1,HCD,IHCI,DES102
1,SEMESTER 1,MATHS,M-I,MTH100
1,SEMESTER 1,SSH,COM,COM101
1,SEMESTER 2,CB,FOB,BIO101
1,SEMESTER 2,CSE,CO,CSE112
1,SEMESTER 2,CSE,DSA,CSE102
1,SEMESTER 2,CSE,IIS,CSE140
1,SEMESTER 2,ECE,BE,ECE113
1,SEMESTER 2,ECE,CO,CSE112
1,SEMESTER 2,ECE,P&S,MTH201
1,SEMESTER 2,HCD,DDV,DES101
1,SEMESTER 2,HCD,VDC,DES202
1,SEMESTER 2,MATHS,P&S,MTH201
1,SEMESTER 2,SSH,CTRSS,SSH101
1,SEMESTER 2,SSH,ISA,SOC101
1,SEMESTER 2,SSH,MB,ECO223
2,SEMESTER 3,CB,CBB-211,BIO211
2,SEMESTER 3,CB,GMB,BIO214
2,SEMESTER 4,ECE,S&S,ECE250	
2,SEMESTER 3,CSE,DSA,CSE102
2,SEMESTER 3,CSE,DM,CSE121
2,SEMESTER 3,CSE,AP,CSE201
2,SEMESTER 3,CSE,OS,CSE231
2,SEMESTER 3,HCD,DPP,DES201
2,SEMESTER 3,MATHS,M-III,MTH203
2,SEMESTER 3,MATHS,DS,MTH210
2,SEMESTER 4,CB,IQB,BIO213
2,SEMESTER 4,CB,PB,BIO221
2,SEMESTER 4,CSE,DBMS,CSE202
2,SEMESTER 4,CSE,DBMS,CSE202
2,SEMESTER 4,CSE,ADA,CSE222
2,SEMESTER 4,CSE,ADA,CSE222
2,SEMESTER 4,CSE,ToC,CSE322
2,SEMESTER 4,CSE,SML,CSE342_ECE356
2,SEMESTER 4,CSE,ToC,CSE322
2,SEMESTER 4,ECE,IE,ECE214
2,SEMESTER 4,ECE,F&W,ECE230
2,SEMESTER 4,ECE,PCS,ECE240
2,SEMESTER 4,HCD,DIS,DES205
2,SEMESTER 4,HCD,PIS,DES206
2,SEMESTER 4,MATHS,M-IV,MTH204
2,SEMESTER 4,MATHS,M-IV,MTH204
2,SEMESTER 4,MATHS,AA-I,MTH212
2,SEMESTER 4,MATHS,IML,MTH300
2,SEMESTER 4,MATHS,GT,MTH310
2,SEMESTER 4,MATHS,SI,MTH372
2,SEMESTER 4,MATHS,IML,MTH300
2,SEMESTER 4,MATHS,GT,MTH310
2,SEMESTER 4,MATHS,SI,MTH372
2,SEMESTER 4,SSH,COO,MTH377_MTH577
2,SEMESTER 4,SSH,MA,ECO333
2,SEMESTER 4,SSH,ECO,ECO221
2,SEMESTER 4,SSH,ITS,SOC207
2,SEMESTER 4,SSH,ST1,SOC210
2,SEMESTER 4,SSH,NN,SSH215
2,SEMESTER 4,SSH,EI,SSH325_525
2,SEMESTER 4,SSH,SoE,ENT404
2,SEMESTER 4,SSH,FOM,ENTxxx
2,SEMESTER 4,SSH,EEE,ESC207
2,SEMESTER 4,SSH,ECOMM,MGT310
2,SEMESTER 4,SSH,SoE,ENT404
2,SEMESTER 4,SSH,FOM,ENTxxx
2,SEMESTER 4,SSH,EEE,ESC207
2,SEMESTER 4,SSH,EI,SSH325_525
2,SEMESTER 4,SSH,MA,ECO333
2,SEMESTER 4,SSH,COO,MTH377_MTH577
3,SEMESTER 5,CB,CoMeG,BIO5xx
3,SEMESTER 5,CB,BioP,BIO361
3,SEMESTER 5,CB,ABIN,BIO321
3,SEMESTER 5,CB,Chi,BIO523
3,SEMESTER 5,CB,MLBA,BIO542
3,SEMESTER 5,CB,NB,BIO532
3,SEMESTER 5,CB,CGAS,BIO544
3,SEMESTER 5,CB,CBB-511,BIO511
3,SEMESTER 5,CB,CM,BIO546_CSE585
3,SEMESTER 5,CB,FOMB,BIO512
3,SEMESTER 5,CSE,GA,CSE525
3,SEMESTER 5,CSE,ML,CSE343_CSE543_ECE363_ECE563
3,SEMESTER 5,CSE,OOPD,CSE600A_ECE600A
3,SEMESTER 5,CSE,CN,CSE232
3,SEMESTER 5,CSE,ML,CSE343_CSE543_ECE363_ECE563
3,SEMESTER 5,CSE,DIP,CSE340_CSE540_ECE350
3,SEMESTER 5,CSE,FCS,CSE345_CSE545
3,SEMESTER 5,CSE,AI,CSE643
3,SEMESTER 5,CSE,MAD,CSE319_CSE519
3,SEMESTER 5,CSE,NLP,CSE556
3,SEMESTER 5,CSE,IIA,CSE656
3,SEMESTER 5,CSE,CG,CSE333_CSE533
3,SEMESTER 5,CSE,CMP,CSE301_CSE601
3,SEMESTER 5,CSE,AML,CSE642
3,SEMESTER 5,CSE,AC,CSE546
3,SEMESTER 5,CSE,CA,ECE511_CSE511
3,SEMESTER 5,CSE,AAG,CSE529
3,SEMESTER 5,CSE,DMG,CSE506
3,SEMESTER 5,CSE,PRMP,CSE513
3,SEMESTER 5,CSE,CldC,CSE569
3,SEMESTER 5,ECE,DCS,ECE340
3,SEMESTER 5,ECE,DSP,ECE351
3,SEMESTER 5,ECE,OWC,ECE546
3,SEMESTER 5,ECE,DVD,ECE314_ECE514
